province,district,palika,sex,breakdown,sector,value
LUMBINI,Rukum (East),,,Family care,20 - 24,297.0
LUMBINI,Rukum (East),,,Family care,25 - 29,398.0
LUMBINI,Rukum (East),,,Family care,30 - 34,399.0
LUMBINI,Rukum (East),,,Family care,35 - 39,384.0
LUMBINI,Rukum (East),,,Family care,40 - 44,381.0
LUMBINI,Rukum (East),,,Family care,45 - 49,382.0
LUMBINI,Rukum (East),,,Disable/sickness,Total No. of children born alive in last 12 months,189.0
LUMBINI,Rukum (East),,,Disable/sickness,15 - 19,3.0
LUMBINI,Rukum (East),,,Disable/sickness,20 - 24,9.0
LUMBINI,Rukum (East),,,Disable/sickness,25 - 29,15.0
LUMBINI,Rukum (East),,,Disable/sickness,30 - 34,8.0
LUMBINI,Rukum (East),,,Disable/sickness,35 - 39,46.0
LUMBINI,Rukum (East),,,Disable/sickness,40 - 44,64.0
LUMBINI,Rukum (East),,,Disable/sickness,45 - 49,44.0
LUMBINI,Rukum (East),,,Penson / income,Total No. of children born alive in last 12 months,40.0
LUMBINI,Rukum (East),,,Penson / income,15 - 19,1.0
LUMBINI,Rukum (East),,,Penson / income,20 - 24,3.0
LUMBINI,Rukum (East),,,Penson / income,25 - 29,9.0
LUMBINI,Rukum (East),,,Penson / income,30 - 34,8.0
LUMBINI,Rukum (East),,,Penson / income,35 - 39,0.0
LUMBINI,Rukum (East),,,Penson / income,40 - 44,13.0
LUMBINI,Rukum (East),,,Penson / income,45 - 49,6.0
LUMBINI,Rukum (East),,,Social work/volunteer,Total No. of children born alive in last 12 months,25.0
LUMBINI,Rukum (East),,,Social work/volunteer,15 - 19,0.0
LUMBINI,Rukum (East),,,Social work/volunteer,20 - 24,6.0
LUMBINI,Rukum (East),,,Social work/volunteer,25 - 29,2.0
LUMBINI,Rukum (East),,,Social work/volunteer,30 - 34,7.0
LUMBINI,Rukum (East),,,Social work/volunteer,35 - 39,5.0
LUMBINI,Rukum (East),,,Social work/volunteer,40 - 44,0.0
LUMBINI,Rukum (East),,,Social work/volunteer,45 - 49,5.0
LUMBINI,Rukum (East),,,Other,Total No. of children born alive in last 12 months,1052.0
LUMBINI,Rukum (East),,,Other,15 - 19,28.0
LUMBINI,Rukum (East),,,Other,20 - 24,152.0
LUMBINI,Rukum (East),,,Other,25 - 29,181.0
LUMBINI,Rukum (East),,,Other,30 - 34,164.0
LUMBINI,Rukum (East),,,Other,35 - 39,212.0
LUMBINI,Rukum (East),,,Other,40 - 44,146.0
LUMBINI,Rukum (East),,,Other,45 - 49,169.0
LUMBINI,Rukum (East),,,Not Stated,Total No. of children born alive in last 12 months,196.0
LUMBINI,Rukum (East),,,Not Stated,15 - 19,1.0
