province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
BAGMATI,Dolakha,,,Household chores,15 - 19,98.0,301,3,
BAGMATI,Dolakha,,,Household chores,20 - 24,781.0,301,3,
BAGMATI,Dolakha,,,Household chores,25 - 29,1590.0,301,3,
BAGMATI,Dolakha,,,Household chores,30 - 34,1950.0,301,3,
BAGMATI,Dolakha,,,Household chores,35 - 39,2203.0,301,3,
BAGMATI,Dolakha,,,Household chores,40 - 44,2424.0,301,3,
BAGMATI,Dolakha,,,Household chores,45 - 49,2356.0,301,3,
BAGMATI,Dolakha,,,Family care,Total No. of children born alive in last 12 months,2717.0,301,3,
BAGMATI,Dolakha,,,Family care,15 - 19,45.0,301,3,
BAGMATI,Dolakha,,,Family care,20 - 24,343.0,301,3,
BAGMATI,Dolakha,,,Family care,25 - 29,647.0,301,3,
BAGMATI,Dolakha,,,Family care,30 - 34,529.0,301,3,
BAGMATI,Dolakha,,,Family care,35 - 39,496.0,301,3,
BAGMATI,Dolakha,,,Family care,40 - 44,346.0,301,3,
BAGMATI,Dolakha,,,Family care,45 - 49,311.0,301,3,
BAGMATI,Dolakha,,,Disable/sickness,Total No. of children born alive in last 12 months,369.0,301,3,
BAGMATI,Dolakha,,,Disable/sickness,15 - 19,0.0,301,3,
BAGMATI,Dolakha,,,Disable/sickness,20 - 24,6.0,301,3,
BAGMATI,Dolakha,,,Disable/sickness,25 - 29,32.0,301,3,
BAGMATI,Dolakha,,,Disable/sickness,30 - 34,33.0,301,3,
BAGMATI,Dolakha,,,Disable/sickness,35 - 39,45.0,301,3,
BAGMATI,Dolakha,,,Disable/sickness,40 - 44,107.0,301,3,
BAGMATI,Dolakha,,,Disable/sickness,45 - 49,146.0,301,3,
BAGMATI,Dolakha,,,Penson / income,Total No. of children born alive in last 12 months,63.0,301,3,
BAGMATI,Dolakha,,,Penson / income,15 - 19,1.0,301,3,
BAGMATI,Dolakha,,,Penson / income,20 - 24,2.0,301,3,
BAGMATI,Dolakha,,,Penson / income,25 - 29,3.0,301,3,
BAGMATI,Dolakha,,,Penson / income,30 - 34,7.0,301,3,
BAGMATI,Dolakha,,,Penson / income,35 - 39,13.0,301,3,
BAGMATI,Dolakha,,,Penson / income,40 - 44,20.0,301,3,
BAGMATI,Dolakha,,,Penson / income,45 - 49,17.0,301,3,
BAGMATI,Dolakha,,,Social work/volunteer,Total No. of children born alive in last 12 months,73.0,301,3,
BAGMATI,Dolakha,,,Social work/volunteer,15 - 19,0.0,301,3,
BAGMATI,Dolakha,,,Social work/volunteer,20 - 24,3.0,301,3,
