"Table 24: Population aged 5 years and above by literacy status, NPHC 2021",,,,,,
Area and  sex,Category,Population aged 5 years & above,Can read & write,Can read only,Can't read & write,
Kavrepalanchok,Female,173573,117341,566,55663,3
Ramechhap,Total,159274,108500,556,50211,7
Ramechhap,Male,75154,58526,239,16386,3
Ramechhap,Female,84120,49974,317,33825,4
Sindhuli,Total,275899,200269,658,74931,41
Sindhuli,Male,134612,107732,285,26573,22
Sindhuli,Female,141287,92537,373,48358,19
Makwanpur,Total,429414,334161,1112,94136,5
Makwanpur,Male,214758,180405,491,33860,2
Makwanpur,Female,214656,153756,621,60276,3
Chitawan,Total,669392,560119,2188,107052,33
Chitawan,Male,324729,288727,799,35190,13
Chitawan,Female,344663,271392,1389,71862,20
Gorkha,Total,234195,169477,2803,61598,317
Gorkha,Male,109347,88053,1052,20107,135
Gorkha,Female,124848,81424,1751,41491,182
Manang,Total,5379,4215,143,1021,0
Manang,Male,3055,2650,66,339,0
Manang,Female,2324,1565,77,682,0
Mustang,Total,13689,10274,241,3137,37
Mustang,Male,7548,6303,95,1129,21
Mustang,Female,6141,3971,146,2008,16
Myagdi,Total,99025,78918,422,19531,154
Myagdi,Male,47933,42041,140,5666,86
Myagdi,Female,51092,36877,282,13865,68
Kaski,Total,562838,493776,3753,63972,1337
Kaski,Male,272702,254723,1151,16217,611
Kaski,Female,290136,239053,2602,47755,726
Lamjung,Total,146546,113561,1252,31632,101
Lamjung,Male,69073,59152,476,9398,47
Lamjung,Female,77473,54409,776,22234,54
Tanahu,Total,299248,244178,2048,52457,565
Tanahu,Male,138447,123240,703,14263,241
Tanahu,Female,160801,120938,1345,38194,324
Nawalparasi (East),Total,349586,287893,2898,58262,533
Nawalparasi (East),Male,162631,144268,1015,17091,257
Nawalparasi (East),Female,186955,143625,1883,41171,276
Syangja,Total,236382,193051,1481,41615,235
Syangja,Male,107838,96853,509,10365,111
Syangja,Female,128544,96198,972,31250,124
Parbat,Total,121631,97452,753,23248,178
Parbat,Male,56709,49986,276,6366,81
Parbat,Female,64922,47466,477,16882,97
Baglung,Total,228978,183115,2458,43169,236
Baglung,Male,105441,92020,849,12466,106
Baglung,Female,123537,91095,1609,30703,130
Rukum (East),Total,51170,36510,165,14468,27
Rukum (East),Male,24584,19584,81,4908,11
Rukum (East),Female,26586,16926,84,9560,16
Rolpa,Total,210714,159372,1597,49614,131
Rolpa,Male,97453,81848,543,15004,58
Rolpa,Female,113261,77524,1054,34610,73
Pyuthan,Total,210494,168663,997,40758,76
Pyuthan,Male,92881,81625,327,10899,30
Pyuthan,Female,117613,87038,670,29859,46
Gulmi,Total,226675,182112,1495,43004,64
Gulmi,Male,101591,89408,452,11701,30
Gulmi,Female,125084,92704,1043,31303,34
Arghakhanchi,Total,162593,130150,1182,31210,51
Arghakhanchi,Male,72818,63896,400,8500,22
Arghakhanchi,Female,89775,66254,782,22710,29
Palpa,Total,227126,190041,1411,35586,88
Palpa,Male,103283,93483,429,9331,40
Palpa,Female,123843,96558,982,26255,48
Nawalparasi (West),Total,355735,277362,2110,76103,160
Nawalparasi (West),Male,171876,148280,702,22809,85
Nawalparasi (West),Female,183859,129082,1408,53294,75
Rupandehi,Total,1030270,836866,3508,189222,674
Rupandehi,Male,501978,443557,1370,56721,330
Rupandehi,Female,528292,393309,2138,132501,344
Kapilbastu,Total,614334,441191,3053,169738,352
Kapilbastu,Male,299627,238606,1396,59462,163
Kapilbastu,Female,314707,202585,1657,110276,189
Dang,Total,621657,506028,2164,113198,267
Dang,Male,292436,256908,735,34670,123
Dang,Female,329221,249120,1429,78528,144
Banke,Total,548821,402832,2874,142819,296
Banke,Male,267947,213308,1217,53286,136
Banke,Female,280874,189524,1657,89533,160
Bardiya,Total,422648,324806,4677,93031,134
Bardiya,Male,197156,163515,1577,32002,62
Bardiya,Female,225492,161291,3100,61029,72
Dolpa,Total,39136,26229,486,12379,42
Dolpa,Male,19552,14734,186,4613,19
Dolpa,Female,19584,11495,300,7766,23
Mugu,Total,57609,39225,331,18027,26
Mugu,Male,28852,22299,170,6373,10
Mugu,Female,28757,16926,161,11654,16
Humla,Total,49325,31491,286,17490,58
Humla,Male,24763,18164,129,6437,33
Humla,Female,24562,13327,157,11053,25
Jumla,Total,107647,75564,746,30888,449
Jumla,Male,53523,42246,274,10785,218
Jumla,Female,54124,33318,472,20103,231
Kalikot,Total,128678,93570,801,34135,172
Kalikot,Male,63528,50700,368,12374,86
Kalikot,Female,65150,42870,433,21761,86
Dailekh,Total,225508,170256,1156,53895,201
Dailekh,Male,106835,88719,444,17575,97
Dailekh,Female,118673,81537,712,36320,104
Jajarkot,Total,167750,126648,1036,39895,171
Jajarkot,Male,83005,67485,472,14960,88
Jajarkot,Female,84745,59163,564,24935,83
Rukum (West),Total,150201,113762,604,35688,147
Rukum (West),Male,72256,59645,237,12308,66
Rukum (West),Female,77945,54117,367,23380,81
Salyan,Total,215417,166510,1394,47342,171
Salyan,Male,102832,87356,433,14961,82
Salyan,Female,112585,79154,961,32381,89
Surkhet,Total,378340,312939,2140,62958,303
Surkhet,Male,180057,160721,685,18501,150
Surkhet,Female,198283,152218,1455,44457,153
Bajura,Total,123900,88267,530,35020,83
Bajura,Male,59464,47469,218,11740,37
Bajura,Female,64436,40798,312,23280,46
Bajhang,Total,170413,120205,757,49392,59
Bajhang,Male,78713,65202,286,13195,30
Bajhang,Female,91700,55003,471,36197,29
Darchula,Total,122340,95146,488,26659,47
Darchula,Female,63740,43970,329,19416,25
Baitadi,Total,219006,168167,1232,49462,145
Baitadi,Male,101488,89005,436,11985,62
Baitadi,Female,117518,79162,796,37477,83
Dadeldhura,Total,126692,99059,876,26705,52
Dadeldhura,Male,58942,52521,258,6138,25
Dadeldhura,Female,67750,46538,618,20567,27
Doti,Total,182722,129257,1530,51870,65
Doti,Male,81848,67860,582,13375,31
Doti,Female,100874,61397,948,38495,34
Achham,Total,203771,148014,1311,54316,130
Achham,Male,92364,76451,475,15387,51
Achham,Female,111407,71563,836,38929,79
Kailali,Total,834407,647609,5969,180477,352
Kailali,Male,395502,336797,2034,56505,166
Kailali,Female,438905,310812,3935,123972,186
Kanchanpur,Total,472393,376228,2947,93095,123
Kanchanpur,Male,218097,191734,1021,25276,66
Kanchanpur,Female,254296,184494,1926,67819,57
