Area (level 1),Area (level 2),Area (level 3),Age group in years,Indicator,Value
KOSHI,Taplejung,,50-54 Yrs.,Population - Male,3146
KOSHI,Taplejung,,50-54 Yrs.,Population - Female,3054
KOSHI,Taplejung,,55-59 Yrs.,Population - Total,4984
KOSHI,Taplejung,,55-59 Yrs.,Population - Male,2489
KOSHI,Taplejung,,55-59 Yrs.,Population - Female,2495
KOSHI,Taplejung,,60-64 Yrs.,Population - Total,4388
KOSHI,Taplejung,,60-64 Yrs.,Population - Male,2311
KOSHI,Taplejung,,60-64 Yrs.,Population - Female,2077
KOSHI,Taplejung,,65-69 Yrs.,Population - Total,3240
KOSHI,Taplejung,,65-69 Yrs.,Population - Male,1624
KOSHI,Taplejung,,65-69 Yrs.,Population - Female,1616
KOSHI,Taplejung,,70-74 Yrs.,Population - Total,2441
KOSHI,Taplejung,,70-74 Yrs.,Population - Male,1226
KOSHI,Taplejung,,70-74 Yrs.,Population - Female,1215
KOSHI,Taplejung,,75-79 Yrs.,Population - Total,1448
KOSHI,Taplejung,,75-79 Yrs.,Population - Male,727
KOSHI,Taplejung,,75-79 Yrs.,Population - Female,721
KOSHI,Taplejung,,80-84 Yrs.,Population - Total,802
KOSHI,Taplejung,,80-84 Yrs.,Population - Male,415
KOSHI,Taplejung,,80-84 Yrs.,Population - Female,387
KOSHI,Taplejung,,85-89 Yrs.,Population - Total,366
KOSHI,Taplejung,,85-89 Yrs.,Population - Male,174
KOSHI,Taplejung,,85-89 Yrs.,Population - Female,192
KOSHI,Taplejung,,90-94 Yrs.,Population - Total,121
KOSHI,Taplejung,,90-94 Yrs.,Population - Male,54
KOSHI,Taplejung,,90-94 Yrs.,Population - Female,67
KOSHI,Taplejung,,95+ Yrs.,Population - Total,35
KOSHI,Taplejung,,95+ Yrs.,Population - Male,20
KOSHI,Taplejung,,95+ Yrs.,Population - Female,15
KOSHI,Taplejung,Phaktanlung Gaunpalika,All Ages,Population - Total,11791
KOSHI,Taplejung,Phaktanlung Gaunpalika,All Ages,Population - Male,6088
KOSHI,Taplejung,Phaktanlung Gaunpalika,All Ages,Population - Female,5703
KOSHI,Taplejung,Phaktanlung Gaunpalika,00-04 Yrs.,Population - Total,1015
KOSHI,Taplejung,Phaktanlung Gaunpalika,00-04 Yrs.,Population - Male,555
KOSHI,Taplejung,Phaktanlung Gaunpalika,00-04 Yrs.,Population - Female,460
KOSHI,Taplejung,Phaktanlung Gaunpalika,05-09 Yrs.,Population - Total,1260
KOSHI,Taplejung,Phaktanlung Gaunpalika,05-09 Yrs.,Population - Male,638
KOSHI,Taplejung,Phaktanlung Gaunpalika,05-09 Yrs.,Population - Female,622
KOSHI,Taplejung,Phaktanlung Gaunpalika,10-14 Yrs.,Population - Total,1158
