Area (level 1),Area (level 2),Area (level 3),Age group in years,Indicator,Value
KOSHI,Okhaldhunga,Champadevi Gaunpalika,45-49 Yrs.,Population - Male,371
KOSHI,Okhaldhunga,Champadevi Gaunpalika,45-49 Yrs.,Population - Female,425
KOSHI,Okhaldhunga,Champadevi Gaunpalika,50-54 Yrs.,Population - Total,877
KOSHI,Okhaldhunga,Champadevi Gaunpalika,50-54 Yrs.,Population - Male,412
KOSHI,Okhaldhunga,Champadevi Gaunpalika,50-54 Yrs.,Population - Female,465
KOSHI,Okhaldhunga,Champadevi Gaunpalika,55-59 Yrs.,Population - Total,748
KOSHI,Okhaldhunga,Champadevi Gaunpalika,55-59 Yrs.,Population - Male,379
KOSHI,Okhaldhunga,Champadevi Gaunpalika,55-59 Yrs.,Population - Female,369
KOSHI,Okhaldhunga,Champadevi Gaunpalika,60-64 Yrs.,Population - Total,782
KOSHI,Okhaldhunga,Champadevi Gaunpalika,60-64 Yrs.,Population - Male,370
KOSHI,Okhaldhunga,Champadevi Gaunpalika,60-64 Yrs.,Population - Female,412
KOSHI,Okhaldhunga,Champadevi Gaunpalika,65-69 Yrs.,Population - Total,596
KOSHI,Okhaldhunga,Champadevi Gaunpalika,65-69 Yrs.,Population - Male,271
KOSHI,Okhaldhunga,Champadevi Gaunpalika,65-69 Yrs.,Population - Female,325
KOSHI,Okhaldhunga,Champadevi Gaunpalika,70-74 Yrs.,Population - Total,435
KOSHI,Okhaldhunga,Champadevi Gaunpalika,70-74 Yrs.,Population - Male,230
KOSHI,Okhaldhunga,Champadevi Gaunpalika,70-74 Yrs.,Population - Female,205
KOSHI,Okhaldhunga,Champadevi Gaunpalika,75-79 Yrs.,Population - Total,335
KOSHI,Okhaldhunga,Champadevi Gaunpalika,75-79 Yrs.,Population - Male,151
KOSHI,Okhaldhunga,Champadevi Gaunpalika,75-79 Yrs.,Population - Female,184
KOSHI,Okhaldhunga,Champadevi Gaunpalika,80-84 Yrs.,Population - Total,168
KOSHI,Okhaldhunga,Champadevi Gaunpalika,80-84 Yrs.,Population - Male,77
KOSHI,Okhaldhunga,Champadevi Gaunpalika,80-84 Yrs.,Population - Female,91
KOSHI,Okhaldhunga,Champadevi Gaunpalika,85-89 Yrs.,Population - Total,77
KOSHI,Okhaldhunga,Champadevi Gaunpalika,85-89 Yrs.,Population - Male,35
KOSHI,Okhaldhunga,Champadevi Gaunpalika,85-89 Yrs.,Population - Female,42
KOSHI,Okhaldhunga,Champadevi Gaunpalika,90-94 Yrs.,Population - Total,28
KOSHI,Okhaldhunga,Champadevi Gaunpalika,90-94 Yrs.,Population - Male,9
KOSHI,Okhaldhunga,Champadevi Gaunpalika,90-94 Yrs.,Population - Female,19
KOSHI,Okhaldhunga,Champadevi Gaunpalika,95+ Yrs.,Population - Total,15
KOSHI,Okhaldhunga,Champadevi Gaunpalika,95+ Yrs.,Population - Male,8
KOSHI,Okhaldhunga,Champadevi Gaunpalika,95+ Yrs.,Population - Female,7
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,All Ages,Population - Total,17783
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,All Ages,Population - Male,8673
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,All Ages,Population - Female,9110
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,00-04 Yrs.,Population - Total,1318
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,00-04 Yrs.,Population - Male,663
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,00-04 Yrs.,Population - Female,655
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,05-09 Yrs.,Population - Total,1618
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,05-09 Yrs.,Population - Male,796
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,05-09 Yrs.,Population - Female,822
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,10-14 Yrs.,Population - Total,1795
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,10-14 Yrs.,Population - Male,919
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,10-14 Yrs.,Population - Female,876
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,15-19 Yrs.,Population - Total,1908
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,15-19 Yrs.,Population - Male,979
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,15-19 Yrs.,Population - Female,929
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,20-24 Yrs.,Population - Total,1597
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,20-24 Yrs.,Population - Male,793
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,20-24 Yrs.,Population - Female,804
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,25-29 Yrs.,Population - Total,1357
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,25-29 Yrs.,Population - Male,660
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,25-29 Yrs.,Population - Female,697
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,30-34 Yrs.,Population - Total,1110
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,30-34 Yrs.,Population - Male,530
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,30-34 Yrs.,Population - Female,580
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,35-39 Yrs.,Population - Total,1008
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,35-39 Yrs.,Population - Male,440
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,35-39 Yrs.,Population - Female,568
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,40-44 Yrs.,Population - Total,879
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,40-44 Yrs.,Population - Male,404
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,40-44 Yrs.,Population - Female,475
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,45-49 Yrs.,Population - Total,816
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,45-49 Yrs.,Population - Male,389
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,45-49 Yrs.,Population - Female,427
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,50-54 Yrs.,Population - Total,1015
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,50-54 Yrs.,Population - Male,480
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,50-54 Yrs.,Population - Female,535
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,55-59 Yrs.,Population - Total,826
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,55-59 Yrs.,Population - Male,391
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,55-59 Yrs.,Population - Female,435
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,60-64 Yrs.,Population - Total,773
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,60-64 Yrs.,Population - Male,379
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,60-64 Yrs.,Population - Female,394
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,65-69 Yrs.,Population - Total,608
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,65-69 Yrs.,Population - Male,303
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,65-69 Yrs.,Population - Female,305
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,70-74 Yrs.,Population - Total,527
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,70-74 Yrs.,Population - Male,248
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,70-74 Yrs.,Population - Female,279
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,75-79 Yrs.,Population - Total,320
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,75-79 Yrs.,Population - Male,145
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,75-79 Yrs.,Population - Female,175
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,80-84 Yrs.,Population - Total,181
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,80-84 Yrs.,Population - Male,94
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,80-84 Yrs.,Population - Female,87
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,85-89 Yrs.,Population - Total,77
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,85-89 Yrs.,Population - Male,37
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,85-89 Yrs.,Population - Female,40
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,90-94 Yrs.,Population - Total,39
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,90-94 Yrs.,Population - Male,20
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,90-94 Yrs.,Population - Female,19
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,95+ Yrs.,Population - Total,11
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,95+ Yrs.,Population - Male,3
KOSHI,Okhaldhunga,Sunkoshi Gaunpalika,95+ Yrs.,Population - Female,8
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,All Ages,Population - Total,19597
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,All Ages,Population - Male,9380
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,All Ages,Population - Female,10217
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,00-04 Yrs.,Population - Total,1463
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,00-04 Yrs.,Population - Male,734
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,00-04 Yrs.,Population - Female,729
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,05-09 Yrs.,Population - Total,1581
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,05-09 Yrs.,Population - Male,785
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,05-09 Yrs.,Population - Female,796
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,10-14 Yrs.,Population - Total,1828
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,10-14 Yrs.,Population - Male,911
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,10-14 Yrs.,Population - Female,917
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,15-19 Yrs.,Population - Total,2001
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,15-19 Yrs.,Population - Male,933
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,15-19 Yrs.,Population - Female,1068
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,20-24 Yrs.,Population - Total,1803
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,20-24 Yrs.,Population - Male,883
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,20-24 Yrs.,Population - Female,920
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,25-29 Yrs.,Population - Total,1536
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,25-29 Yrs.,Population - Male,728
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,25-29 Yrs.,Population - Female,808
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,30-34 Yrs.,Population - Total,1323
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,30-34 Yrs.,Population - Male,661
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,30-34 Yrs.,Population - Female,662
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,35-39 Yrs.,Population - Total,1083
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,35-39 Yrs.,Population - Male,486
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,35-39 Yrs.,Population - Female,597
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,40-44 Yrs.,Population - Total,1026
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,40-44 Yrs.,Population - Male,445
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,40-44 Yrs.,Population - Female,581
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,45-49 Yrs.,Population - Total,1025
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,45-49 Yrs.,Population - Male,456
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,45-49 Yrs.,Population - Female,569
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,50-54 Yrs.,Population - Total,1217
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,50-54 Yrs.,Population - Male,568
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,50-54 Yrs.,Population - Female,649
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,55-59 Yrs.,Population - Total,1036
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,55-59 Yrs.,Population - Male,495
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,55-59 Yrs.,Population - Female,541
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,60-64 Yrs.,Population - Total,845
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,60-64 Yrs.,Population - Male,415
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,60-64 Yrs.,Population - Female,430
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,65-69 Yrs.,Population - Total,670
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,65-69 Yrs.,Population - Male,303
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,65-69 Yrs.,Population - Female,367
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,70-74 Yrs.,Population - Total,527
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,70-74 Yrs.,Population - Male,257
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,70-74 Yrs.,Population - Female,270
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,75-79 Yrs.,Population - Total,340
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,75-79 Yrs.,Population - Male,178
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,75-79 Yrs.,Population - Female,162
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,80-84 Yrs.,Population - Total,172
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,80-84 Yrs.,Population - Male,90
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,80-84 Yrs.,Population - Female,82
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,85-89 Yrs.,Population - Total,88
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,85-89 Yrs.,Population - Male,37
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,85-89 Yrs.,Population - Female,51
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,90-94 Yrs.,Population - Total,28
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,90-94 Yrs.,Population - Male,13
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,90-94 Yrs.,Population - Female,15
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,95+ Yrs.,Population - Total,5
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,95+ Yrs.,Population - Male,2
KOSHI,Okhaldhunga,Manebhanjyang Gaunpalika,95+ Yrs.,Population - Female,3
KOSHI,Okhaldhunga,INSTITUTIONAL,All Ages,Population - Total,563
KOSHI,Okhaldhunga,INSTITUTIONAL,All Ages,Population - Male,512
KOSHI,Okhaldhunga,INSTITUTIONAL,All Ages,Population - Female,51
KOSHI,Okhaldhunga,INSTITUTIONAL,00-04 Yrs.,Population - Total,4
KOSHI,Okhaldhunga,INSTITUTIONAL,00-04 Yrs.,Population - Male,1
KOSHI,Okhaldhunga,INSTITUTIONAL,00-04 Yrs.,Population - Female,3
KOSHI,Okhaldhunga,INSTITUTIONAL,05-09 Yrs.,Population - Total,1
KOSHI,Okhaldhunga,INSTITUTIONAL,05-09 Yrs.,Population - Male,0
KOSHI,Okhaldhunga,INSTITUTIONAL,05-09 Yrs.,Population - Female,1
KOSHI,Okhaldhunga,INSTITUTIONAL,10-14 Yrs.,Population - Total,12
KOSHI,Okhaldhunga,INSTITUTIONAL,10-14 Yrs.,Population - Male,11
KOSHI,Okhaldhunga,INSTITUTIONAL,10-14 Yrs.,Population - Female,1
KOSHI,Okhaldhunga,INSTITUTIONAL,15-19 Yrs.,Population - Total,13
KOSHI,Okhaldhunga,INSTITUTIONAL,15-19 Yrs.,Population - Male,13
KOSHI,Okhaldhunga,INSTITUTIONAL,15-19 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,20-24 Yrs.,Population - Total,113
KOSHI,Okhaldhunga,INSTITUTIONAL,20-24 Yrs.,Population - Male,92
KOSHI,Okhaldhunga,INSTITUTIONAL,20-24 Yrs.,Population - Female,21
KOSHI,Okhaldhunga,INSTITUTIONAL,25-29 Yrs.,Population - Total,110
KOSHI,Okhaldhunga,INSTITUTIONAL,25-29 Yrs.,Population - Male,94
KOSHI,Okhaldhunga,INSTITUTIONAL,25-29 Yrs.,Population - Female,16
KOSHI,Okhaldhunga,INSTITUTIONAL,30-34 Yrs.,Population - Total,52
KOSHI,Okhaldhunga,INSTITUTIONAL,30-34 Yrs.,Population - Male,50
KOSHI,Okhaldhunga,INSTITUTIONAL,30-34 Yrs.,Population - Female,2
KOSHI,Okhaldhunga,INSTITUTIONAL,35-39 Yrs.,Population - Total,203
KOSHI,Okhaldhunga,INSTITUTIONAL,35-39 Yrs.,Population - Male,198
KOSHI,Okhaldhunga,INSTITUTIONAL,35-39 Yrs.,Population - Female,5
KOSHI,Okhaldhunga,INSTITUTIONAL,40-44 Yrs.,Population - Total,22
KOSHI,Okhaldhunga,INSTITUTIONAL,40-44 Yrs.,Population - Male,20
KOSHI,Okhaldhunga,INSTITUTIONAL,40-44 Yrs.,Population - Female,2
KOSHI,Okhaldhunga,INSTITUTIONAL,45-49 Yrs.,Population - Total,13
KOSHI,Okhaldhunga,INSTITUTIONAL,45-49 Yrs.,Population - Male,13
KOSHI,Okhaldhunga,INSTITUTIONAL,45-49 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,50-54 Yrs.,Population - Total,7
KOSHI,Okhaldhunga,INSTITUTIONAL,50-54 Yrs.,Population - Male,7
KOSHI,Okhaldhunga,INSTITUTIONAL,50-54 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,55-59 Yrs.,Population - Total,3
KOSHI,Okhaldhunga,INSTITUTIONAL,55-59 Yrs.,Population - Male,3
KOSHI,Okhaldhunga,INSTITUTIONAL,55-59 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,60-64 Yrs.,Population - Total,5
KOSHI,Okhaldhunga,INSTITUTIONAL,60-64 Yrs.,Population - Male,5
KOSHI,Okhaldhunga,INSTITUTIONAL,60-64 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,65-69 Yrs.,Population - Total,5
KOSHI,Okhaldhunga,INSTITUTIONAL,65-69 Yrs.,Population - Male,5
KOSHI,Okhaldhunga,INSTITUTIONAL,65-69 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,70-74 Yrs.,Population - Total,0
KOSHI,Okhaldhunga,INSTITUTIONAL,70-74 Yrs.,Population - Male,0
KOSHI,Okhaldhunga,INSTITUTIONAL,70-74 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,75-79 Yrs.,Population - Total,0
KOSHI,Okhaldhunga,INSTITUTIONAL,75-79 Yrs.,Population - Male,0
KOSHI,Okhaldhunga,INSTITUTIONAL,75-79 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,80-84 Yrs.,Population - Total,0
KOSHI,Okhaldhunga,INSTITUTIONAL,80-84 Yrs.,Population - Male,0
KOSHI,Okhaldhunga,INSTITUTIONAL,80-84 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,85-89 Yrs.,Population - Total,0
KOSHI,Okhaldhunga,INSTITUTIONAL,85-89 Yrs.,Population - Male,0
KOSHI,Okhaldhunga,INSTITUTIONAL,85-89 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,90-94 Yrs.,Population - Total,0
KOSHI,Okhaldhunga,INSTITUTIONAL,90-94 Yrs.,Population - Male,0
KOSHI,Okhaldhunga,INSTITUTIONAL,90-94 Yrs.,Population - Female,0
KOSHI,Okhaldhunga,INSTITUTIONAL,95+ Yrs.,Population - Total,0
KOSHI,Okhaldhunga,INSTITUTIONAL,95+ Yrs.,Population - Male,0
KOSHI,Okhaldhunga,INSTITUTIONAL,95+ Yrs.,Population - Female,0
KOSHI,Khotang,,All Ages,Population - Total,175298
KOSHI,Khotang,,All Ages,Population - Male,86637
KOSHI,Khotang,,All Ages,Population - Female,88661
KOSHI,Khotang,,00-04 Yrs.,Population - Total,14416
KOSHI,Khotang,,00-04 Yrs.,Population - Male,7441
KOSHI,Khotang,,00-04 Yrs.,Population - Female,6975
KOSHI,Khotang,,05-09 Yrs.,Population - Total,16554
KOSHI,Khotang,,05-09 Yrs.,Population - Male,8349
KOSHI,Khotang,,05-09 Yrs.,Population - Female,8205
KOSHI,Khotang,,10-14 Yrs.,Population - Total,18027
KOSHI,Khotang,,10-14 Yrs.,Population - Male,8975
KOSHI,Khotang,,10-14 Yrs.,Population - Female,9052
KOSHI,Khotang,,15-19 Yrs.,Population - Total,19174
KOSHI,Khotang,,15-19 Yrs.,Population - Male,9581
KOSHI,Khotang,,15-19 Yrs.,Population - Female,9593
KOSHI,Khotang,,20-24 Yrs.,Population - Total,15690
KOSHI,Khotang,,20-24 Yrs.,Population - Male,7649
KOSHI,Khotang,,20-24 Yrs.,Population - Female,8041
KOSHI,Khotang,,25-29 Yrs.,Population - Total,13367
KOSHI,Khotang,,25-29 Yrs.,Population - Male,6660
KOSHI,Khotang,,25-29 Yrs.,Population - Female,6707
KOSHI,Khotang,,30-34 Yrs.,Population - Total,10595
KOSHI,Khotang,,30-34 Yrs.,Population - Male,5367
KOSHI,Khotang,,30-34 Yrs.,Population - Female,5228
KOSHI,Khotang,,35-39 Yrs.,Population - Total,9623
KOSHI,Khotang,,35-39 Yrs.,Population - Male,4661
KOSHI,Khotang,,35-39 Yrs.,Population - Female,4962
KOSHI,Khotang,,40-44 Yrs.,Population - Total,8659
KOSHI,Khotang,,40-44 Yrs.,Population - Male,4080
KOSHI,Khotang,,40-44 Yrs.,Population - Female,4579
KOSHI,Khotang,,45-49 Yrs.,Population - Total,8009
KOSHI,Khotang,,45-49 Yrs.,Population - Male,3734
KOSHI,Khotang,,45-49 Yrs.,Population - Female,4275
KOSHI,Khotang,,50-54 Yrs.,Population - Total,9690
KOSHI,Khotang,,50-54 Yrs.,Population - Male,4606
KOSHI,Khotang,,50-54 Yrs.,Population - Female,5084
KOSHI,Khotang,,55-59 Yrs.,Population - Total,8130
KOSHI,Khotang,,55-59 Yrs.,Population - Male,3942
KOSHI,Khotang,,55-59 Yrs.,Population - Female,4188
KOSHI,Khotang,,60-64 Yrs.,Population - Total,7334
KOSHI,Khotang,,60-64 Yrs.,Population - Male,3642
KOSHI,Khotang,,60-64 Yrs.,Population - Female,3692
KOSHI,Khotang,,65-69 Yrs.,Population - Total,5665
KOSHI,Khotang,,65-69 Yrs.,Population - Male,2820
KOSHI,Khotang,,65-69 Yrs.,Population - Female,2845
KOSHI,Khotang,,70-74 Yrs.,Population - Total,4518
KOSHI,Khotang,,70-74 Yrs.,Population - Male,2207
KOSHI,Khotang,,70-74 Yrs.,Population - Female,2311
KOSHI,Khotang,,75-79 Yrs.,Population - Total,3192
KOSHI,Khotang,,75-79 Yrs.,Population - Male,1491
KOSHI,Khotang,,75-79 Yrs.,Population - Female,1701
KOSHI,Khotang,,80-84 Yrs.,Population - Total,1536
KOSHI,Khotang,,80-84 Yrs.,Population - Male,865
KOSHI,Khotang,,80-84 Yrs.,Population - Female,671
KOSHI,Khotang,,85-89 Yrs.,Population - Total,791
KOSHI,Khotang,,85-89 Yrs.,Population - Male,408
KOSHI,Khotang,,85-89 Yrs.,Population - Female,383
KOSHI,Khotang,,90-94 Yrs.,Population - Total,252
KOSHI,Khotang,,90-94 Yrs.,Population - Male,125
KOSHI,Khotang,,90-94 Yrs.,Population - Female,127
KOSHI,Khotang,,95+ Yrs.,Population - Total,76
KOSHI,Khotang,,95+ Yrs.,Population - Male,34
KOSHI,Khotang,,95+ Yrs.,Population - Female,42
KOSHI,Khotang,Kepilasgadhi Gaunpalika,All Ages,Population - Total,13231
KOSHI,Khotang,Kepilasgadhi Gaunpalika,All Ages,Population - Male,6535
KOSHI,Khotang,Kepilasgadhi Gaunpalika,All Ages,Population - Female,6696
KOSHI,Khotang,Kepilasgadhi Gaunpalika,00-04 Yrs.,Population - Total,1172
KOSHI,Khotang,Kepilasgadhi Gaunpalika,00-04 Yrs.,Population - Male,579
KOSHI,Khotang,Kepilasgadhi Gaunpalika,00-04 Yrs.,Population - Female,593
KOSHI,Khotang,Kepilasgadhi Gaunpalika,05-09 Yrs.,Population - Total,1326
KOSHI,Khotang,Kepilasgadhi Gaunpalika,05-09 Yrs.,Population - Male,647
KOSHI,Khotang,Kepilasgadhi Gaunpalika,05-09 Yrs.,Population - Female,679
KOSHI,Khotang,Kepilasgadhi Gaunpalika,10-14 Yrs.,Population - Total,1376
KOSHI,Khotang,Kepilasgadhi Gaunpalika,10-14 Yrs.,Population - Male,668
KOSHI,Khotang,Kepilasgadhi Gaunpalika,10-14 Yrs.,Population - Female,708
KOSHI,Khotang,Kepilasgadhi Gaunpalika,15-19 Yrs.,Population - Total,1335
KOSHI,Khotang,Kepilasgadhi Gaunpalika,15-19 Yrs.,Population - Male,674
KOSHI,Khotang,Kepilasgadhi Gaunpalika,15-19 Yrs.,Population - Female,661
KOSHI,Khotang,Kepilasgadhi Gaunpalika,20-24 Yrs.,Population - Total,1218
KOSHI,Khotang,Kepilasgadhi Gaunpalika,20-24 Yrs.,Population - Male,608
KOSHI,Khotang,Kepilasgadhi Gaunpalika,20-24 Yrs.,Population - Female,610
KOSHI,Khotang,Kepilasgadhi Gaunpalika,25-29 Yrs.,Population - Total,1068
KOSHI,Khotang,Kepilasgadhi Gaunpalika,25-29 Yrs.,Population - Male,551
KOSHI,Khotang,Kepilasgadhi Gaunpalika,25-29 Yrs.,Population - Female,517
KOSHI,Khotang,Kepilasgadhi Gaunpalika,30-34 Yrs.,Population - Total,757
KOSHI,Khotang,Kepilasgadhi Gaunpalika,30-34 Yrs.,Population - Male,394
KOSHI,Khotang,Kepilasgadhi Gaunpalika,30-34 Yrs.,Population - Female,363
KOSHI,Khotang,Kepilasgadhi Gaunpalika,35-39 Yrs.,Population - Total,664
KOSHI,Khotang,Kepilasgadhi Gaunpalika,35-39 Yrs.,Population - Male,332
KOSHI,Khotang,Kepilasgadhi Gaunpalika,35-39 Yrs.,Population - Female,332
KOSHI,Khotang,Kepilasgadhi Gaunpalika,40-44 Yrs.,Population - Total,562
KOSHI,Khotang,Kepilasgadhi Gaunpalika,40-44 Yrs.,Population - Male,277
KOSHI,Khotang,Kepilasgadhi Gaunpalika,40-44 Yrs.,Population - Female,285
KOSHI,Khotang,Kepilasgadhi Gaunpalika,45-49 Yrs.,Population - Total,540
KOSHI,Khotang,Kepilasgadhi Gaunpalika,45-49 Yrs.,Population - Male,222
KOSHI,Khotang,Kepilasgadhi Gaunpalika,45-49 Yrs.,Population - Female,318
KOSHI,Khotang,Kepilasgadhi Gaunpalika,50-54 Yrs.,Population - Total,759
KOSHI,Khotang,Kepilasgadhi Gaunpalika,50-54 Yrs.,Population - Male,346
KOSHI,Khotang,Kepilasgadhi Gaunpalika,50-54 Yrs.,Population - Female,413
KOSHI,Khotang,Kepilasgadhi Gaunpalika,55-59 Yrs.,Population - Total,633
