Area (level 1),Area (level 2),Area (level 3),sex,Indicator,Value
NEPAL,,,Total,Total,29164578
NEPAL,,,Total,Relation of  household head - Household head,6666937
NEPAL,,,Total,Relation of  household head - Husband/ Wife,4741706
NEPAL,,,Total,Relation of  household head - Son / Daughter in Law,8246701
NEPAL,,,Total,Relation of  household head - Daughter/ Son in Law,4477089
NEPAL,,,Total,Relation of  household head - Father/ Mother,771033
NEPAL,,,Total,Relation of  household head - Father in Law/ Mother in Law,221112
NEPAL,,,Total,Relation of  household head - Brother/ Sister,531191
NEPAL,,,Total,Relation of  household head - Grand Son/ Grand Daugher,2767353
NEPAL,,,Total,Relation of  household head - Other Relative,418563
NEPAL,,,Total,Relation of  household head - Domestic Helper,21626
NEPAL,,,Total,Relation of  household head - Not Related,301235
NEPAL,,,Total,Relation of  household head - Not Stated,32
NEPAL,,,Male,Total,14253551
NEPAL,,,Male,Relation of  household head - Household head,4563659
NEPAL,,,Male,Relation of  household head - Husband/ Wife,640628
NEPAL,,,Male,Relation of  household head - Son / Daughter in Law,6508833
NEPAL,,,Male,Relation of  household head - Daughter/ Son in Law,27175
NEPAL,,,Male,Relation of  household head - Father/ Mother,238858
NEPAL,,,Male,Relation of  household head - Father in Law/ Mother in Law,72885
NEPAL,,,Male,Relation of  household head - Brother/ Sister,312347
NEPAL,,,Male,Relation of  household head - Grand Son/ Grand Daugher,1451475
NEPAL,,,Male,Relation of  household head - Other Relative,176354
NEPAL,,,Male,Relation of  household head - Domestic Helper,13970
NEPAL,,,Male,Relation of  household head - Not Related,247355
NEPAL,,,Male,Relation of  household head - Not Stated,12
NEPAL,,,Female,Total,14911027
NEPAL,,,Female,Relation of  household head - Household head,2103278
NEPAL,,,Female,Relation of  household head - Husband/ Wife,4101078
NEPAL,,,Female,Relation of  household head - Son / Daughter in Law,1737868
NEPAL,,,Female,Relation of  household head - Daughter/ Son in Law,4449914
NEPAL,,,Female,Relation of  household head - Father/ Mother,532175
NEPAL,,,Female,Relation of  household head - Father in Law/ Mother in Law,148227
NEPAL,,,Female,Relation of  household head - Brother/ Sister,218844
NEPAL,,,Female,Relation of  household head - Grand Son/ Grand Daugher,1315878
NEPAL,,,Female,Relation of  household head - Other Relative,242209
NEPAL,,,Female,Relation of  household head - Domestic Helper,7656
NEPAL,,,Female,Relation of  household head - Not Related,53880
NEPAL,,,Female,Relation of  household head - Not Stated,20
KOSHI,,,Total,Total,4961412
KOSHI,,,Total,Relation of  household head - Household head,1191556
KOSHI,,,Total,Relation of  household head - Husband/ Wife,857121
KOSHI,,,Total,Relation of  household head - Son / Daughter in Law,1355108
KOSHI,,,Total,Relation of  household head - Daughter/ Son in Law,774707
KOSHI,,,Total,Relation of  household head - Father/ Mother,136135
KOSHI,,,Total,Relation of  household head - Father in Law/ Mother in Law,38404
KOSHI,,,Total,Relation of  household head - Brother/ Sister,80749
KOSHI,,,Total,Relation of  household head - Grand Son/ Grand Daugher,407028
KOSHI,,,Total,Relation of  household head - Other Relative,74397
KOSHI,,,Total,Relation of  household head - Domestic Helper,3214
KOSHI,,,Total,Relation of  household head - Not Related,42989
KOSHI,,,Total,Relation of  household head - Not Stated,4
KOSHI,,,Male,Total,2417328
KOSHI,,,Male,Relation of  household head - Household head,823722
KOSHI,,,Male,Relation of  household head - Husband/ Wife,114707
KOSHI,,,Male,Relation of  household head - Son / Daughter in Law,1091486
KOSHI,,,Male,Relation of  household head - Daughter/ Son in Law,6185
KOSHI,,,Male,Relation of  household head - Father/ Mother,42128
KOSHI,,,Male,Relation of  household head - Father in Law/ Mother in Law,12800
KOSHI,,,Male,Relation of  household head - Brother/ Sister,44329
KOSHI,,,Male,Relation of  household head - Grand Son/ Grand Daugher,211406
KOSHI,,,Male,Relation of  household head - Other Relative,31656
KOSHI,,,Male,Relation of  household head - Domestic Helper,2196
KOSHI,,,Male,Relation of  household head - Not Related,36713
KOSHI,,,Male,Relation of  household head - Not Stated,0
KOSHI,,,Female,Total,2544084
KOSHI,,,Female,Relation of  household head - Household head,367834
KOSHI,,,Female,Relation of  household head - Husband/ Wife,742414
KOSHI,,,Female,Relation of  household head - Son / Daughter in Law,263622
KOSHI,,,Female,Relation of  household head - Daughter/ Son in Law,768522
KOSHI,,,Female,Relation of  household head - Father/ Mother,94007
KOSHI,,,Female,Relation of  household head - Father in Law/ Mother in Law,25604
KOSHI,,,Female,Relation of  household head - Brother/ Sister,36420
KOSHI,,,Female,Relation of  household head - Grand Son/ Grand Daugher,195622
KOSHI,,,Female,Relation of  household head - Other Relative,42741
KOSHI,,,Female,Relation of  household head - Domestic Helper,1018
KOSHI,,,Female,Relation of  household head - Not Related,6276
KOSHI,,,Female,Relation of  household head - Not Stated,4
KOSHI,Taplejung,,Total,Total,120590
KOSHI,Taplejung,,Total,Relation of  household head - Household head,27798
KOSHI,Taplejung,,Total,Relation of  household head - Husband/ Wife,20201
KOSHI,Taplejung,,Total,Relation of  household head - Son / Daughter in Law,34729
KOSHI,Taplejung,,Total,Relation of  household head - Daughter/ Son in Law,20573
KOSHI,Taplejung,,Total,Relation of  household head - Father/ Mother,2280
KOSHI,Taplejung,,Total,Relation of  household head - Father in Law/ Mother in Law,372
KOSHI,Taplejung,,Total,Relation of  household head - Brother/ Sister,2280
KOSHI,Taplejung,,Total,Relation of  household head - Grand Son/ Grand Daugher,9576
KOSHI,Taplejung,,Total,Relation of  household head - Other Relative,1318
KOSHI,Taplejung,,Total,Relation of  household head - Domestic Helper,95
KOSHI,Taplejung,,Total,Relation of  household head - Not Related,1368
KOSHI,Taplejung,,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,,Male,Total,60773
KOSHI,Taplejung,,Male,Relation of  household head - Household head,21041
KOSHI,Taplejung,,Male,Relation of  household head - Husband/ Wife,1937
KOSHI,Taplejung,,Male,Relation of  household head - Son / Daughter in Law,28764
KOSHI,Taplejung,,Male,Relation of  household head - Daughter/ Son in Law,89
KOSHI,Taplejung,,Male,Relation of  household head - Father/ Mother,728
KOSHI,Taplejung,,Male,Relation of  household head - Father in Law/ Mother in Law,138
KOSHI,Taplejung,,Male,Relation of  household head - Brother/ Sister,1215
KOSHI,Taplejung,,Male,Relation of  household head - Grand Son/ Grand Daugher,4941
KOSHI,Taplejung,,Male,Relation of  household head - Other Relative,561
KOSHI,Taplejung,,Male,Relation of  household head - Domestic Helper,72
KOSHI,Taplejung,,Male,Relation of  household head - Not Related,1287
KOSHI,Taplejung,,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,,Female,Total,59817
KOSHI,Taplejung,,Female,Relation of  household head - Household head,6757
KOSHI,Taplejung,,Female,Relation of  household head - Husband/ Wife,18264
KOSHI,Taplejung,,Female,Relation of  household head - Son / Daughter in Law,5965
KOSHI,Taplejung,,Female,Relation of  household head - Daughter/ Son in Law,20484
KOSHI,Taplejung,,Female,Relation of  household head - Father/ Mother,1552
KOSHI,Taplejung,,Female,Relation of  household head - Father in Law/ Mother in Law,234
KOSHI,Taplejung,,Female,Relation of  household head - Brother/ Sister,1065
KOSHI,Taplejung,,Female,Relation of  household head - Grand Son/ Grand Daugher,4635
KOSHI,Taplejung,,Female,Relation of  household head - Other Relative,757
KOSHI,Taplejung,,Female,Relation of  household head - Domestic Helper,23
KOSHI,Taplejung,,Female,Relation of  household head - Not Related,81
KOSHI,Taplejung,,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Total,11791
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Household head,2832
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Husband/ Wife,2109
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3322
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2186
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Father/ Mother,258
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,84
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Brother/ Sister,249
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,583
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Other Relative,139
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Domestic Helper,6
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Not Related,23
KOSHI,Taplejung,Phaktanlung Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Total,6088
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Household head,2054
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Husband/ Wife,383
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2947
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,7
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Father/ Mother,109
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,36
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Brother/ Sister,140
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,310
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Other Relative,77
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Domestic Helper,5
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Not Related,20
KOSHI,Taplejung,Phaktanlung Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Total,5703
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Household head,778
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Husband/ Wife,1726
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,375
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2179
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Father/ Mother,149
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,48
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Brother/ Sister,109
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,273
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Other Relative,62
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Domestic Helper,1
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Not Related,3
KOSHI,Taplejung,Phaktanlung Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Total,7964
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Household head,1845
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Husband/ Wife,1334
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,2228
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,1500
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Father/ Mother,203
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,17
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Brother/ Sister,189
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,564
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Other Relative,72
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Domestic Helper,5
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Not Related,7
KOSHI,Taplejung,Mikwakhola Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Total,3954
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Household head,1459
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Husband/ Wife,88
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,1881
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,8
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Father/ Mother,72
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,8
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Brother/ Sister,100
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,305
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Other Relative,25
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Domestic Helper,2
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Not Related,6
KOSHI,Taplejung,Mikwakhola Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Total,4010
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Household head,386
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Husband/ Wife,1246
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,347
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,1492
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Father/ Mother,131
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,9
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Brother/ Sister,89
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,259
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Other Relative,47
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Domestic Helper,3
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Not Related,1
KOSHI,Taplejung,Mikwakhola Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Meringden Gaunpalika,Total,Total,11838
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Household head,2662
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Husband/ Wife,1869
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3440
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2354
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Father/ Mother,261
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,23
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Brother/ Sister,277
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,823
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Other Relative,115
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Domestic Helper,0
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Not Related,14
KOSHI,Taplejung,Meringden Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Meringden Gaunpalika,Male,Total,5859
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Household head,2029
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Husband/ Wife,156
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2937
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,10
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Father/ Mother,94
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,9
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Brother/ Sister,147
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,420
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Other Relative,46
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Domestic Helper,0
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Not Related,11
KOSHI,Taplejung,Meringden Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Meringden Gaunpalika,Female,Total,5979
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Household head,633
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Husband/ Wife,1713
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,503
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2344
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Father/ Mother,167
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,14
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Brother/ Sister,130
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,403
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Other Relative,69
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Domestic Helper,0
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Not Related,3
KOSHI,Taplejung,Meringden Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Total,10213
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Household head,2249
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Husband/ Wife,1664
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3137
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,1837
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Father/ Mother,170
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,24
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Brother/ Sister,181
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,837
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Other Relative,91
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Domestic Helper,1
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Not Related,22
KOSHI,Taplejung,Maiwakhola Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Total,5153
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Household head,1778
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Husband/ Wife,104
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2619
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,8
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Father/ Mother,60
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,10
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Brother/ Sister,107
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,412
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Other Relative,34
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Domestic Helper,1
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Not Related,20
KOSHI,Taplejung,Maiwakhola Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Total,5060
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Household head,471
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Husband/ Wife,1560
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,518
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,1829
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Father/ Mother,110
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,14
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Brother/ Sister,74
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,425
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Other Relative,57
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Domestic Helper,0
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Not Related,2
KOSHI,Taplejung,Maiwakhola Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Total,12296
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Household head,2854
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Husband/ Wife,2142
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,3502
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,2031
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Father/ Mother,268
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,38
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Brother/ Sister,224
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,1044
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Other Relative,160
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Domestic Helper,1
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Not Related,32
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Total,6066
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Household head,2240
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Husband/ Wife,158
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,2857
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,11
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Father/ Mother,67
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,11
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Brother/ Sister,110
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,523
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Other Relative,64
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Domestic Helper,1
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Not Related,24
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Total,6230
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Household head,614
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Husband/ Wife,1984
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,645
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,2020
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Father/ Mother,201
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,27
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Brother/ Sister,114
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,521
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Other Relative,96
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Domestic Helper,0
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Not Related,8
KOSHI,Taplejung,Aatharai Tribeni Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Phungling Municipality,Total,Total,28449
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Household head,6898
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Husband/ Wife,4787
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Son / Daughter in Law,8005
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Daughter/ Son in Law,4682
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Father/ Mother,451
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Father in Law/ Mother in Law,106
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Brother/ Sister,589
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Grand Son/ Grand Daugher,2407
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Other Relative,374
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Domestic Helper,73
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Not Related,77
KOSHI,Taplejung,Phungling Municipality,Total,Relation of  household head - Not Stated,0
KOSHI,Taplejung,Phungling Municipality,Male,Total,13981
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Household head,4674
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Husband/ Wife,716
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Son / Daughter in Law,6553
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Daughter/ Son in Law,20
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Father/ Mother,127
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Father in Law/ Mother in Law,37
KOSHI,Taplejung,Phungling Municipality,Male,Relation of  household head - Brother/ Sister,303
