Area and  sex,Category,Indicator,Value
Karnali,Total,Population aged 5 years & above,1519611
Karnali,Total,Can read & write,1156194
Karnali,Total,Can read only,8980
Karnali,Total,Can't read & write,352697
Karnali,Total,Not stated,1740
Karnali,Male,Population aged 5 years & above,735203
Karnali,Male,Can read & write,612069
Karnali,Male,Can read only,3398
Karnali,Male,Can't read & write,118887
Karnali,Male,Not stated,849
Karnali,Female,Population aged 5 years & above,784408
Karnali,Female,Can read & write,544125
Karnali,Female,Can read only,5582
Karnali,Female,Can't read & write,233810
Karnali,Female,Not stated,891
Sudur Paschim,Total,Population aged 5 years & above,2455644
Sudur Paschim,Total,Can read & write,1871952
Sudur Paschim,Total,Can read only,15640
Sudur Paschim,Total,Can't read & write,566996
Sudur Paschim,Total,Not stated,1056
Sudur Paschim,Male,Population aged 5 years & above,1145018
Sudur Paschim,Male,Can read & write,978215
Sudur Paschim,Male,Can read only,5469
Sudur Paschim,Male,Can't read & write,160844
Sudur Paschim,Male,Not stated,490
Sudur Paschim,Female,Population aged 5 years & above,1310626
Sudur Paschim,Female,Can read & write,893737
Sudur Paschim,Female,Can read only,10171
Sudur Paschim,Female,Can't read & write,406152
Sudur Paschim,Female,Not stated,566
Taplejung,Total,Population aged 5 years & above,110370
Taplejung,Total,Can read & write,90733
Taplejung,Total,Can read only,341
Taplejung,Total,Can't read & write,19295
Taplejung,Total,Not stated,1
Taplejung,Male,Population aged 5 years & above,55530
Taplejung,Male,Can read & write,48965
Taplejung,Male,Can read only,162
Taplejung,Male,Can't read & write,6403
Taplejung,Male,Not stated,0
Taplejung,Female,Population aged 5 years & above,54840
Taplejung,Female,Can read & write,41768
Taplejung,Female,Can read only,179
Taplejung,Female,Can't read & write,12892
Taplejung,Female,Not stated,1
Sankhuwasabha,Total,Population aged 5 years & above,146105
Sankhuwasabha,Total,Can read & write,116449
Sankhuwasabha,Total,Can read only,279
Sankhuwasabha,Total,Can't read & write,29368
Sankhuwasabha,Total,Not stated,9
Sankhuwasabha,Male,Population aged 5 years & above,73380
Sankhuwasabha,Male,Can read & write,63403
Sankhuwasabha,Male,Can read only,130
Sankhuwasabha,Male,Can't read & write,9840
Sankhuwasabha,Male,Not stated,7
Sankhuwasabha,Female,Population aged 5 years & above,72725
Sankhuwasabha,Female,Can read & write,53046
Sankhuwasabha,Female,Can read only,149
Sankhuwasabha,Female,Can't read & write,19528
Sankhuwasabha,Female,Not stated,2
Solukhumbu,Total,Population aged 5 years & above,96528
Solukhumbu,Total,Can read & write,74274
Solukhumbu,Total,Can read only,487
Solukhumbu,Total,Can't read & write,21765
Solukhumbu,Total,Not stated,2
Solukhumbu,Male,Population aged 5 years & above,48441
Solukhumbu,Male,Can read & write,40842
Solukhumbu,Male,Can read only,213
Solukhumbu,Male,Can't read & write,7386
Solukhumbu,Male,Not stated,0
Solukhumbu,Female,Population aged 5 years & above,48087
Solukhumbu,Female,Can read & write,33432
Solukhumbu,Female,Can read only,274
Solukhumbu,Female,Can't read & write,14379
Solukhumbu,Female,Not stated,2
Okhaldhunga,Total,Population aged 5 years & above,129593
Okhaldhunga,Total,Can read & write,95752
Okhaldhunga,Total,Can read only,339
Okhaldhunga,Total,Can't read & write,33498
Okhaldhunga,Total,Not stated,4
Okhaldhunga,Male,Population aged 5 years & above,62954
Okhaldhunga,Male,Can read & write,51373
Okhaldhunga,Male,Can read only,129
Okhaldhunga,Male,Can't read & write,11450
Okhaldhunga,Male,Not stated,2
Okhaldhunga,Female,Population aged 5 years & above,66639
Okhaldhunga,Female,Can read & write,44379
Okhaldhunga,Female,Can read only,210
Okhaldhunga,Female,Can't read & write,22048
Okhaldhunga,Female,Not stated,2
Khotang,Total,Population aged 5 years & above,160882
Khotang,Total,Can read & write,122248
Khotang,Total,Can read only,511
Khotang,Total,Can't read & write,38120
Khotang,Total,Not stated,3
Khotang,Male,Population aged 5 years & above,79196
Khotang,Male,Can read & write,66242
Khotang,Male,Can read only,242
Khotang,Male,Can't read & write,12711
Khotang,Male,Not stated,1
Khotang,Female,Population aged 5 years & above,81686
Khotang,Female,Can read & write,56006
Khotang,Female,Can read only,269
Khotang,Female,Can't read & write,25409
Khotang,Female,Not stated,2
Bhojpur,Total,Population aged 5 years & above,145695
Bhojpur,Total,Can read & write,114914
Bhojpur,Total,Can read only,886
Bhojpur,Total,Can't read & write,29890
Bhojpur,Total,Not stated,5
Bhojpur,Male,Population aged 5 years & above,71909
Bhojpur,Male,Can read & write,61905
Bhojpur,Male,Can read only,354
Bhojpur,Male,Can't read & write,9648
Bhojpur,Male,Not stated,2
Bhojpur,Female,Population aged 5 years & above,73786
Bhojpur,Female,Can read & write,53009
Bhojpur,Female,Can read only,532
Bhojpur,Female,Can't read & write,20242
Bhojpur,Female,Not stated,3
Dhankuta,Total,Population aged 5 years & above,139893
Dhankuta,Total,Can read & write,113816
Dhankuta,Total,Can read only,474
Dhankuta,Total,Can't read & write,25596
Dhankuta,Total,Not stated,7
Dhankuta,Male,Population aged 5 years & above,68325
Dhankuta,Male,Can read & write,60248
Dhankuta,Male,Can read only,179
Dhankuta,Male,Can't read & write,7895
Dhankuta,Male,Not stated,3
Dhankuta,Female,Population aged 5 years & above,71568
Dhankuta,Female,Can read & write,53568
Dhankuta,Female,Can read only,295
Dhankuta,Female,Can't read & write,17701
Dhankuta,Female,Not stated,4
Tehrathum,Total,Population aged 5 years & above,81982
Tehrathum,Total,Can read & write,67178
Tehrathum,Total,Can read only,268
Tehrathum,Total,Can't read & write,14531
Tehrathum,Total,Not stated,5
Tehrathum,Male,Population aged 5 years & above,40046
Tehrathum,Male,Can read & write,35742
Tehrathum,Male,Can read only,120
Tehrathum,Male,Can't read & write,4180
