province,district,palika,sex,breakdown,sector,value
SUDURPASCHIM,Bajura,,,8 Children,45 - 49,66.0
SUDURPASCHIM,Bajura,,,9 & More Children,Total ever married female,94.0
SUDURPASCHIM,Bajura,,,9 & More Children,15 - 19,0.0
SUDURPASCHIM,Bajura,,,9 & More Children,20 - 24,0.0
SUDURPASCHIM,Bajura,,,9 & More Children,25 - 29,0.0
SUDURPASCHIM,Bajura,,,9 & More Children,30 - 34,1.0
SUDURPASCHIM,Bajura,,,9 & More Children,35 - 39,12.0
SUDURPASCHIM,Bajura,,,9 & More Children,40 - 44,27.0
SUDURPASCHIM,Bajura,,,9 & More Children,45 - 49,54.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,Total ever married female,1815.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,15 - 19,101.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,20 - 24,392.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,25 - 29,310.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,30 - 34,269.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,35 - 39,257.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,40 - 44,254.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,Total,45 - 49,232.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,Total ever married female,229.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,15 - 19,58.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,20 - 24,102.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,25 - 29,20.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,30 - 34,10.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,35 - 39,11.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,40 - 44,14.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,No Children,45 - 49,14.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,Total ever married female,296.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,15 - 19,37.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,20 - 24,149.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,25 - 29,55.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,30 - 34,18.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,35 - 39,12.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,40 - 44,15.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,1 Child,45 - 49,10.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,Total ever married female,449.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,15 - 19,6.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,20 - 24,113.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,25 - 29,130.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,30 - 34,76.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,35 - 39,52.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,40 - 44,38.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,2 Children,45 - 49,34.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,Total ever married female,356.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,20 - 24,23.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,25 - 29,81.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,30 - 34,87.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,35 - 39,68.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,40 - 44,51.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,3 Children,45 - 49,46.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,Total ever married female,300.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,20 - 24,5.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,25 - 29,15.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,30 - 34,62.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,35 - 39,70.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,40 - 44,80.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,4 Children,45 - 49,68.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,Total ever married female,118.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,25 - 29,7.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,30 - 34,12.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,35 - 39,31.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,40 - 44,38.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,5 Children,45 - 49,30.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,Total ever married female,33.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,25 - 29,2.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,30 - 34,1.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,35 - 39,8.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,40 - 44,11.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,6 Children,45 - 49,11.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,Total ever married female,14.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,25 - 29,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,30 - 34,3.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,35 - 39,2.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,40 - 44,3.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,7 Children,45 - 49,6.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,Total ever married female,11.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,25 - 29,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,30 - 34,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,35 - 39,1.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,40 - 44,3.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,8 Children,45 - 49,7.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,Total ever married female,9.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,25 - 29,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,30 - 34,0.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,35 - 39,2.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,40 - 44,1.0
SUDURPASCHIM,Bajura,Himali Gaunpalika,,9 & More Children,45 - 49,6.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,Total ever married female,1724.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,15 - 19,67.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,20 - 24,407.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,25 - 29,258.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,30 - 34,241.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,35 - 39,284.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,40 - 44,240.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,Total,45 - 49,227.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,Total ever married female,130.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,15 - 19,31.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,20 - 24,66.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,25 - 29,11.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,30 - 34,6.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,35 - 39,4.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,40 - 44,6.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,No Children,45 - 49,6.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,Total ever married female,311.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,15 - 19,31.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,20 - 24,180.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,25 - 29,61.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,30 - 34,12.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,35 - 39,11.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,40 - 44,8.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,45 - 49,8.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,Total ever married female,378.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,15 - 19,4.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,20 - 24,132.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,25 - 29,98.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,30 - 34,50.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,35 - 39,40.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,40 - 44,31.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,45 - 49,23.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,Total ever married female,383.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,15 - 19,1.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,20 - 24,26.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,25 - 29,76.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,30 - 34,86.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,35 - 39,84.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,40 - 44,62.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,45 - 49,48.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,Total ever married female,269.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,20 - 24,3.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,25 - 29,9.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,30 - 34,57.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,35 - 39,74.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,40 - 44,67.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,45 - 49,59.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,Total ever married female,162.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,25 - 29,3.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,30 - 34,24.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,35 - 39,52.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,40 - 44,38.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,45 - 49,45.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,6 Children,Total ever married female,52.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,6 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,6 Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,6 Children,25 - 29,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,6 Children,30 - 34,3.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,6 Children,35 - 39,14.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,6 Children,40 - 44,12.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,6 Children,45 - 49,23.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,7 Children,Total ever married female,29.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,7 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,7 Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,7 Children,25 - 29,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,7 Children,30 - 34,3.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,7 Children,35 - 39,4.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,7 Children,40 - 44,12.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,7 Children,45 - 49,10.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,8 Children,Total ever married female,7.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,8 Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,8 Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,8 Children,25 - 29,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,8 Children,30 - 34,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,8 Children,35 - 39,1.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,8 Children,40 - 44,2.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,8 Children,45 - 49,4.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,9 & More Children,Total ever married female,3.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,9 & More Children,15 - 19,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,9 & More Children,20 - 24,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,9 & More Children,25 - 29,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,9 & More Children,30 - 34,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,9 & More Children,35 - 39,0.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,9 & More Children,40 - 44,2.0
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,9 & More Children,45 - 49,1.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,Total,Total ever married female,3840.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,Total,15 - 19,213.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,Total,20 - 24,782.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,Total,25 - 29,611.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,Total,30 - 34,622.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,Total,35 - 39,653.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,Total,40 - 44,498.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,Total,45 - 49,461.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,No Children,Total ever married female,433.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,No Children,15 - 19,121.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,No Children,20 - 24,169.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,No Children,25 - 29,40.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,No Children,30 - 34,21.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,No Children,35 - 39,22.0
SUDURPASCHIM,Bajura,Budhinanda Municipality,,No Children,40 - 44,18.0
